Titel;Vorname;Nachname;Partei;Jahrgang;Kandidatennummer
;"Per Lennart";"Aae";"NPD";1940;1
;"Sebastian Tobias";"Abele";"SPD";1987;2
;"Roya";"Abolhassanzadeh Talischi";"DIE LINKE";1959;3
;"Klaus";"Acker";"NPD";1958;4
;"Reinmund";"Acker";;1949;5
;"Jens";"Ackermann";"FDP";1975;6
"Dr.";"Lothar Matthias";"Ackermann";"FDP";1953;7
;"Michael";"Adam";"SPD";1984;8
;"Beate";"Adler";"GRÜNE";1960;9
;"Michael Harald";"Adomeit";;1957;10
;"Manfred August";"Aengenvoort";"NPD";1944;11
;"Werner";"Ahlers";"DIE VIOLETTEN";1939;12
;"Jonas";"Ahlgrimm";"DIE LINKE";1986;13
;"Kornelia";"Ahr-Wiehe";"FDP";1964;14
;"Christian";"Ahrendt";"FDP";1963;15
;"Dirk";"Ahrens";"PIRATEN";1977;16
;"Alois";"Aigner";"ödp";1962;17
;"Ilse";"Aigner";"CSU";1964;18
;"Pasquale";"Aita";;1974;19
;"Jan";"Aken van";"DIE LINKE";1961;20
"Dr.";"Lale";"Akgün";"SPD";1953;21
;"Stefan";"Albanesi";"DIE LINKE";1972;22
;"Sönke";"Albertsen";;1960;23
;"Frank";"Albrecht";"FDP";1967;24
;"Klaus";"Albrecht";"DIE LINKE";1948;25
;"Richard Hermann";"Albrecht";"BüSo";1963;26
;"Wilfried";"Aldag";"NPD";1952;27
;"Michael";"Allenstein";"DVU";1963;28
;"Agnes";"Alpers";"DIE LINKE";1961;29
;"Peter";"Altmaier";"CDU";1958;30
;"Fernande";"Altmayer";"FDP";1961;31
;"Gregor";"Amann";"SPD";1962;32
;"Gerhard";"Ambrosius";"NPD";1940;33
;"Kerstin";"Andreae";"GRÜNE";1968;34
;"Michael";"Andrejewski";"NPD";1959;35
;"Volker";"Andresen";"SPD";1945;36
;"Andrea";"Andromidas";"BüSo";1949;37
;"Christian";"Angne";"FDP";1945;38
;"Winfried";"Anslinger";"GRÜNE";1951;39
;"Daniel Richard";"Ansorge";"ödp";1988;40
;"Kornelia";"Anspach-Papa";"CDU";1961;41
;"Marta";"Aparicio de Eckelmann";"DIE LINKE";1952;42
;"Rainer";"Apel";"BüSo";1948;43
;"Detlef";"Appel";"NPD";1955;44
;"Johannes Peter";"Appelt";"BüSo";1943;45
;"Ron";"Appelt";"NPD";1988;46
;"Corinna";"Appenrodt";"SPD";1974;47
;"Feryal";"Araz";"MLPD";1985;48
;"Dirk";"Arendt";"NPD";1976;49
;"Dörthe";"Armstroff";"NPD";1958;50
;"Holger-Michael";"Arndt";"GRÜNE";1971;51
;"Ingrid";"Arndt-Brauer";"SPD";1961;52
;"Karin";"Arnold";"RRP";1947;53
;"Ludger";"Arnold";"SPD";1954;54
;"Rainer";"Arnold";"SPD";1950;55
;"Ludwig";"Artmeyer";"GRÜNE";1965;56
;"Christine";"Aschenberg-Dugnus";"FDP";1959;57
;"Helma";"Aßmann";"BüSo";1939;58
;"Ferit";"Atan";"MLPD";1955;59
;"Artur Friedrich";"Auernhammer";"CSU";1963;60
;"Elisabeth";"August";"DIE LINKE";1950;61
;"Andreas";"Augustin";"PIRATEN";1979;62
;"Reiner";"Aulenbacher";"MLPD";1957;63
;"Martin";"Aulila";"BP";1954;64
;"Peter";"Aumer";"CSU";1976;65
;"Hüseyin Kenan";"Aydin";"DIE LINKE";1962;66
;"Armin";"Azima";"BüSo";1977;67
;"Klaus Hermann";"Baade";"NPD";1936;68
;"Safet";"Babic";"NPD";1981;69
;"Thomas";"Bach";"CDU";1961;70
;"Iris";"Bachmann";"GRÜNE";1947;71
;"Sabrina";"Bacholke";"Die Tierschutzpartei";1981;72
;"Veronika";"Backes";"CDU";1956;73
;"Jürgen";"Bader";"MLPD";1960;74
;"Lisa";"Badum";"GRÜNE";1983;75
;"Dietrich Karl Ernst";"Baecker";"PBC";1937;76
;"Manfred";"Bähr";"FDP";1959;77
;"Knut";"Bänsch";"PIRATEN";1961;78
;"Dorothee";"Bär";"CSU";1978;79
;"Karl";"Bär";"GRÜNE";1985;80
;"Peter";"Baer";;1934;81
;"Annalena";"Baerbock";"GRÜNE";1980;82
;"Sabine";"Bätzing";"SPD";1975;83
;"Peter";"Bäuerle";"MLPD";1951;84
;"Werner";"Bäumler";"DIE LINKE";1952;85
;"Daniel";"Bahr";"FDP";1976;86
