Wahltermin,Titel,Vorname,Nachname,Jahrgang,Partei,Wahlkreis,Bundesland,Listenplatz
2009-09-27,,Per Lennart,Aae,1940,NPD,158,,
2009-09-27,,Sebastian Tobias,Abele,1987,SPD,,BY,50
2009-09-27,,Roya,Abolhassanzadeh Talischi,1959,DIE LINKE,,NW,30
2009-09-27,,Klaus,Acker,1958,NPD,,RP,10
2009-09-27,,Reinmund,Acker,1949,,216,,
2009-09-27,,Jens,Ackermann,1975,FDP,68,ST,2
2009-09-27,Dr.,Lothar Matthias,Ackermann,1953,FDP,,RP,31
2009-09-27,,Michael,Adam,1984,SPD,231,BY,43
2009-09-27,,Beate,Adler,1960,GRÜNE,30,NI,11
2009-09-27,,Michael Harald,Adomeit,1957,,15,,
2009-09-27,,Manfred August,Aengenvoort,1944,NPD,,NW,15
2009-09-27,,Werner,Ahlers,1939,DIE VIOLETTEN,,BY,13
2009-09-27,,Jonas,Ahlgrimm,1986,DIE LINKE,174,,
2009-09-27,,Kornelia,Ahr-Wiehe,1964,FDP,,HE,38
2009-09-27,,Christian,Ahrendt,1963,FDP,13,MV,1
2009-09-27,,Dirk,Ahrens,1977,PIRATEN,,RP,3
2009-09-27,,Alois,Aigner,1962,ÖDP,230,BY,33
2009-09-27,,Ilse,Aigner,1964,CSU,224,BY,4
2009-09-27,,Pasquale,Aita,1974,,184,,
2009-09-27,,Jan,Aken van,1961,DIE LINKE,,HH,1
2009-09-27,Dr.,Lale,Akgün,1953,SPD,95,NW,29
2009-09-27,,Stefan,Albanesi,1972,DIE LINKE,256,,
2009-09-27,,Sönke,Albertsen,1960,,2,,
2009-09-27,,Frank,Albrecht,1967,FDP,116,NW,43
2009-09-27,,Klaus,Albrecht,1948,DIE LINKE,168,,
2009-09-27,,Richard Hermann,Albrecht,1963,BüSo,,BY,14
2009-09-27,,Wilfried,Aldag,1952,NPD,43,,
2009-09-27,,Michael,Allenstein,1963,DVU,,HE,3
2009-09-27,,Agnes,Alpers,1961,DIE LINKE,,HB,1
2009-09-27,,Peter,Altmaier,1958,CDU,297,SL,1
2009-09-27,,Fernande,Altmayer,1961,FDP,,SL,7
2009-09-27,,Gregor,Amann,1962,SPD,182,HE,13
2009-09-27,,Gerhard,Ambrosius,1940,NPD,,SL,2
2009-09-27,,Kerstin,Andreae,1968,GRÜNE,281,BW,1
2009-09-27,,Michael,Andrejewski,1959,NPD,16,,
2009-09-27,,Volker,Andresen,1945,SPD,,SH,22
2009-09-27,,Andrea,Andromidas,1949,BüSo,,HE,8
2009-09-27,,Christian,Angne,1945,FDP,,RP,21
2009-09-27,,Winfried,Anslinger,1951,GRÜNE,299,SL,5
2009-09-27,,Daniel Richard,Ansorge,1988,ÖDP,257,BY,13
2009-09-27,,Kornelia,Anspach-Papa,1961,CDU,,SL,9
2009-09-27,,Marta,Aparicio de Eckelmann,1952,DIE LINKE,258,BW,7
2009-09-27,,Rainer,Apel,1948,BüSo,182,HE,10
2009-09-27,,Detlef,Appel,1955,NPD,,BB,8
2009-09-27,,Johannes Peter,Appelt,1943,BüSo,,BY,15
2009-09-27,,Ron,Appelt,1988,NPD,224,,
2009-09-27,,Corinna,Appenrodt,1974,SPD,,TH,9
