Wahltermin;Kandidatennummer;Titel;Nachname;Vorname;Jahrgang;Partei
22.09.2013;1;;Aae;Per Lennart;1940;NPD
22.09.2013;2;;Abed-Ali;Ali;1993;Die PARTEI
22.09.2013;3;;Abend;Klaus-Dieter;1946;FDP
22.09.2013;4;;Ableiter;Claus;1963;FREIE WÄHLER
22.09.2013;5;;Abramowski;Ulrich Herbert;1956;AfD
22.09.2013;6;;Abwander;Susanne Brigitte;1966;DIE VIOLETTEN
22.09.2013;7;;Acharki;Moussa;1975;BIG
22.09.2013;8;;Achatz;Markus Franz-Xaver;1981;FREIE WÄHLER
22.09.2013;9;;Achenbach;Ulrich;1954;MLPD
22.09.2013;10;;Ackermann;Jens;1975;FDP
22.09.2013;11;Dr. ;Adam;Konrad;1942;AfD
22.09.2013;12;;Adams;Heino;1942;RENTNER
22.09.2013;13;;Adams;Heinrich Martin;1955;AfD
22.09.2013;14;;Adamy;Wilfried;1963;PIRATEN
22.09.2013;15;;Aden;Eckhard;1967;NPD
22.09.2013;16;;Adler;Annelies Brigitte;1952;NPD
22.09.2013;17;;Adler;Günter-Hans;1940;NPD
22.09.2013;18;;Adler;Otto Peter;1941;NPD
22.09.2013;19;;Adomeit;Michael Harald;1957;
22.09.2013;20;;Aggelidis;Michael;1962;DIE LINKE
22.09.2013;21;;Ahlgrim;Brigitte Inge;1952;
22.09.2013;22;;Ahmed;Tanja Melanie Carolin;1971;DIE VIOLETTEN
22.09.2013;23;;Aicher;Roland;1965;REP
22.09.2013;24;;Akbayir;Hamide;1959;DIE LINKE
22.09.2013;25;;Aken van;Jan Paul;1961;DIE LINKE
22.09.2013;26;;Akpolat;Mustafa;1964;PIRATEN
22.09.2013;27;;Al-Dailami;Ali Abass Yahya;1981;DIE LINKE
22.09.2013;28;;Albanesi;Stefan;1972;DIE LINKE
22.09.2013;29;;Albani;Stephan;1968;CDU
22.09.2013;30;;Albe;Gerald Hermann;1976;PIRATEN
22.09.2013;31;;Albrecht;Frank;1972;VERNUNFT
22.09.2013;32;;Albrecht;Frank;1967;FDP
22.09.2013;33;;Albrecht;Karolina;1982;DIE VIOLETTEN
22.09.2013;34;;Albrecht;Peter;1938;VERNUNFT
22.09.2013;35;Prof. ;Albrecht;Erich Willy;1950;AfD
22.09.2013;36;;Albsteiger;Katrin;1983;CSU
22.09.2013;37;;Alkemper;Christian;1967;PIRATEN
22.09.2013;38;;Allwörden von;Moritz;1985;PIRATEN
22.09.2013;39;;Almonacid Lessmann;Alexander;1967;PIRATEN
22.09.2013;40;;Alpers;Agnes;1961;DIE LINKE
22.09.2013;41;;Alptekin;Hülya;1987;BIG
22.09.2013;42;Dr. ;Alscher;Bernhard;1957;FREIE WÄHLER
22.09.2013;43;;Alt;Renata;1965;FDP
22.09.2013;44;;Altenkirch;Karl-Friedrich;1940;FDP
22.09.2013;45;;Alter;Anne;1966;PIRATEN
