Wahlkreisnummer,Wahlkreisname,Bundesland
1,Flensburg – Schleswig,Schleswig-Holstein
2,Nordfriesland – Dithmarschen Nord,Schleswig-Holstein
3,Steinburg – Dithmarschen Süd,Schleswig-Holstein
4,Rendsburg-Eckernförde,Schleswig-Holstein
5,Kiel,Schleswig-Holstein
6,Plön – Neumünster,Schleswig-Holstein
7,Pinneberg,Schleswig-Holstein
8,Segeberg – Stormarn-Mitte,Schleswig-Holstein
9,Ostholstein – Stormarn-Nord,Schleswig-Holstein
10,Herzogtum Lauenburg – Stormarn-Süd,Schleswig-Holstein
11,Lübeck,Schleswig-Holstein
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,Mecklenburg-Vorpommern
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,Mecklenburg-Vorpommern
14,Rostock – Landkreis Rostock II,Mecklenburg-Vorpommern
15,Vorpommern-Rügen – Vorpommern-Greifswald I,Mecklenburg-Vorpommern
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II ,Mecklenburg-Vorpommern
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,Mecklenburg-Vorpommern
18,Hamburg-Mitte,Hamburg
19,Hamburg-Altona,Hamburg
20,Hamburg-Eimsbüttel,Hamburg
21,Hamburg-Nord,Hamburg
22,Hamburg-Wandsbek,Hamburg
23,Hamburg-Bergedorf – Harburg,Hamburg
24,Aurich – Emden,Niedersachsen
25,Unterems,Niedersachsen
26,Friesland – Wilhelmshaven – Wittmund,Niedersachsen
27,Oldenburg – Ammerland,Niedersachsen
28,Delmenhorst – Wesermarsch – Oldenburg-Land,Niedersachsen
29,Cuxhaven – Stade II,Niedersachsen
30,Stade I – Rotenburg II,Niedersachsen
31,Mittelems,Niedersachsen
32,Cloppenburg – Vechta,Niedersachsen
33,Diepholz – Nienburg I,Niedersachsen
34,Osterholz – Verden,Niedersachsen
35,Rotenburg I – Heidekreis,Niedersachsen
36,Harburg,Niedersachsen
37,Lüchow-Dannenberg – Lüneburg,Niedersachsen
38,Osnabrück-Land,Niedersachsen
39,Stadt Osnabrück,Niedersachsen
40,Nienburg II – Schaumburg,Niedersachsen
41,Stadt Hannover I,Niedersachsen
42,Stadt Hannover II,Niedersachsen
43,Hannover-Land I,Niedersachsen
44,Celle – Uelzen,Niedersachsen
45,Gifhorn – Peine,Niedersachsen
46,Hameln-Pyrmont – Holzminden,Niedersachsen
47,Hannover-Land II,Niedersachsen
48,Hildesheim,Niedersachsen
49,Salzgitter – Wolfenbüttel,Niedersachsen
50,Braunschweig,Niedersachsen
51,Helmstedt – Wolfsburg,Niedersachsen
52,Goslar – Northeim – Osterode,Niedersachsen
53,Göttingen,Niedersachsen
54,Bremen I,Bremen
55,Bremen II – Bremerhaven,Bremen
56,Prignitz – Ostprignitz-Ruppin – Havelland I,Brandenburg
57,Uckermark – Barnim I,Brandenburg
58,Oberhavel – Havelland II,Brandenburg
59,Märkisch-Oderland – Barnim II,Brandenburg
60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,Brandenburg
61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Brandenburg
62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,Brandenburg
63,Frankfurt (Oder) – Oder-Spree,Brandenburg
64,Cottbus – Spree-Neiße,Brandenburg
65,Elbe-Elster – Oberspreewald-Lausitz II,Brandenburg
66,Altmark,Sachsen-Anhalt
67,Börde – Jerichower Land,Sachsen-Anhalt
68,Harz,Sachsen-Anhalt
69,Magdeburg,Sachsen-Anhalt
70,Dessau – Wittenberg,Sachsen-Anhalt
71,Anhalt,Sachsen-Anhalt
72,Halle,Sachsen-Anhalt
73,Burgenland – Saalekreis,Sachsen-Anhalt
74,Mansfeld,Sachsen-Anhalt
75,Berlin-Mitte,Berlin
76,Berlin-Pankow,Berlin
