WahlkreisNr,Wahlkreis,Voters,Voted,Invalid_S1,Invalid_S2,Valid_S1,Valid_S2,SPD_S1,SPD_S2,CDU_S1,CDU_S2,FDP_S1,FDP_S2,DIE LINKE_S1,DIE LINKE_S2,GRÜNE_S1,GRÜNE_S2,CSU_S1,CSU_S2,NPD_S1,NPD_S2,REP_S1,REP_S2,FAMILIE_S1,FAMILIE_S2,Die Tierschutzpartei_S1,Die Tierschutzpartei_S2,PBC_S1,PBC_S2,MLPD_S1,MLPD_S2,BüSo_S1,BüSo_S2,BP_S1,BP_S2,PSG_S2,Volksabstimmung_S1,Volksabstimmung_S2,ZENTRUM_S1,ZENTRUM_S2,ADM_S1,ADM_S2,CM_S2,DKP_S1,DKP_S2,DVU_S2,DIE VIOLETTEN_S1,DIE VIOLETTEN_S2,FWD_S2,ödp_S1,ödp_S2,PIRATEN_S1,PIRATEN_S2,RRP_S1,RRP_S2,RENTNER_S2,Freie Union_S1,Übrige_S1
1,Flensburg – Schleswig,225 216,163 329,4 117,4 181,159 212,159 148,52 139,41 793,61 793,51 068,15 292,24 187,11 918,13 481,16 399,21 967,0,0,1 302,1 240,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,369,0,0,0,0,0,0,159,0,0,0,0,0,0,3 385,0,0,1 821,0,0
2,Nordfriesland – Dithmarschen Nord,187 047,134 671,3 382,3 218,131 289,131 453,36 642,32 239,56 751,47 947,15 184,22 605,8 208,8 836,12 840,14 927,0,0,1 231,1 126,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,2 233,0,0,1 293,0,433
3,Steinburg – Dithmarschen Süd,177 604,128 320,3 348,3 030,124 972,125 290,37 277,31 282,49 779,43 480,16 037,21 970,8 896,9 808,10 665,12 899,0,0,1 603,1 512,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,2 549,0,0,1 604,0,715
4,Rendsburg-Eckernförde,198 910,150 018,3 404,3 026,146 614,146 992,47 610,39 253,58 876,49 789,14 317,23 442,8 729,9 821,14 790,18 751,0,0,1 344,1 220,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,2 985,0,0,1 540,0,948
5,Kiel,200 347,145 483,3 442,2 263,142 041,143 220,54 398,42 369,42 733,36 397,12 188,19 156,11 817,13 430,18 699,24 659,0,0,1 392,1 275,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,4 267,0,0,1 448,0,814
6,Plön – Neumünster,175 132,127 971,3 292,3 031,124 679,124 940,41 683,35 557,48 136,40 110,12 515,19 772,7 871,8 936,12 187,15 701,0,0,1 363,1 315,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,2 281,0,0,1 095,0,924
7,Pinneberg,232 899,176 188,3 384,3 193,172 804,172 995,54 950,45 540,70 458,57 203,17 018,28 640,11 794,13 412,16 143,20 978,0,0,1 912,1 743,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,3 659,0,0,1 571,0,529
8,Segeberg – Stormarn-Mitte,240 010,180 295,3 674,3 303,176 621,176 992,54 065,44 445,70 290,58 225,20 084,31 407,12 527,14 280,16 633,21 245,0,0,1 797,1 687,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,3 598,0,0,1 814,0,1 225
9,Ostholstein – Stormarn-Nord,179 987,131 917,4 043,3 094,127 874,128 823,43 765,36 329,49 363,42 193,14 397,22 701,8 235,9 342,10 411,13 651,0,0,1 270,1 192,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,2 062,0,0,1 178,0,433
10,Herzogtum Lauenburg – Stormarn-Süd,237 144,181 568,3 884,3 259,177 684,178 309,53 073,45 354,70 874,59 075,19 742,30 714,12 351,13 855,18 761,22 240,0,0,2 330,2 126,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,553,0,0,0,0,0,3 248,0,0,1 445,0,0
11,Lübeck,180 424,124 624,3 524,3 284,121 100,121 340,44 393,36 578,36 745,32 970,13 296,17 173,10 973,12 002,14 098,16 764,0,0,1 595,1 412,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,3 010,0,0,1 197,0,0
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,226 424,148 469,2 507,2 122,145 962,146 347,36 134,29 602,44 260,45 985,11 464,14 174,41 449,40 022,7 840,8 528,0,0,4 699,4 321,0,256,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 207,0,0,0,0,116
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,217 571,138 101,2 440,2 155,135 661,135 946,28 275,25 078,45 462,44 531,10 106,13 264,40 228,38 919,6 601,7 049,0,0,4 239,3 903,0,199,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,2 749,0,0,0,0,617
14,Rostock – Landkreis Rostock II,224 968,149 341,2 402,2 115,146 939,147 226,29 052,26 254,41 161,41 154,9 931,14 285,46 323,44 937,15 050,12 027,0,0,3 681,3 405,0,215,0,0,0,0,0,0,554,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,4 606,0,0,0,0,1 113
15,Vorpommern-Rügen – Vorpommern-Greifswald I,253 514,154 213,2 632,2 761,151 581,151 452,19 090,19 591,70 329,55 282,8 491,16 798,40 081,42 462,6 757,8 550,0,0,4 115,4 237,0,307,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 942,0,0,0,0,2 718
