WahlkreisNr,Wahlkreis,Voters,Voted,Invalid_S1,Invalid_S2,Valid_S1,Valid_S2,SPD_S1,SPD_S2,CDU_S1,CDU_S2,FDP_S1,FDP_S2,DIE LINKE_S1,DIE LINKE_S2,GRÜNE_S1,GRÜNE_S2,CSU_S1,CSU_S2,NPD_S1,NPD_S2,REP_S1,REP_S2,FAMILIE_S1,FAMILIE_S2,Tierschutzpartei_S1,Tierschutzpartei_S2,PBC_S1,PBC_S2,MLPD_S1,MLPD_S2,BüSo_S1,BüSo_S2,BP_S1,BP_S2,PSG_S2,Volksabstimmung_S1,Volksabstimmung_S2,ZENTRUM_S1,ZENTRUM_S2,ADM_S1,ADM_S2,CM_S2,DKP_S1,DKP_S2,DVU_S2,DIE VIOLETTEN_S1,DIE VIOLETTEN_S2,FWD_S2,ÖDP_S1,ÖDP_S2,PIRATEN_S1,PIRATEN_S2,Bündnis21/RRP_S1,Bündnis217RRP_S2,RENTNER_S2,Freie Union_S1,Übrige_S1
1,Flensburg  Schleswig,225216,163329,4117,4181,159212,159148,52139,41793,61793,51068,15292,24187,11918,13481,16399,21967,,,1302,1240,,,,,,,,,,47,,,,,,,,369,,,,,,,159,,,,,,,3385,,,1821,,
2,Nordfriesland  Dithmarschen Nord,187047,134671,3382,3218,131289,131453,36642,32239,56751,47947,15184,22605,8208,8836,12840,14927,,,1231,1126,,,,,,,,,,53,,,,,,,,,,,,,,,194,,,,,,,2233,,,1293,,433
3,Steinburg  Dithmarschen Süd,177604,128320,3348,3030,124972,125290,37277,31282,49779,43480,16037,21970,8896,9808,10665,12899,,,1603,1512,,,,,,,,,,44,,,,,,,,,,,,,,,142,,,,,,,2549,,,1604,,715
4,Rendsburg-Eckernförde,198910,150018,3404,3026,146614,146992,47610,39253,58876,49789,14317,23442,8729,9821,14790,18751,,,1344,1220,,,,,,,,,,55,,,,,,,,,,,,,,,136,,,,,,,2985,,,1540,,948
5,Kiel,200347,145483,3442,2263,142041,143220,54398,42369,42733,36397,12188,19156,11817,13430,18699,24659,,,1392,1275,,,,,,,,,,80,,,,,,,,,,,,,,,139,,,,,,,4267,,,1448,,814
6,Plön  Neumünster,175132,127971,3292,3031,124679,124940,41683,35557,48136,40110,12515,19772,7871,8936,12187,15701,,,1363,1315,,,,,,,,,,42,,,,,,,,,,,,,,,131,,,,,,,2281,,,1095,,924
7,Pinneberg,232899,176188,3384,3193,172804,172995,54950,45540,70458,57203,17018,28640,11794,13412,16143,20978,,,1912,1743,,,,,,,,,,56,,,,,,,,,,,,,,,193,,,,,,,3659,,,1571,,529
8,Segeberg  Stormarn-Mitte,240010,180295,3674,3303,176621,176992,54065,44445,70290,58225,20084,31407,12527,14280,16633,21245,,,1797,1687,,,,,,,,,,58,,,,,,,,,,,,,,,233,,,,,,,3598,,,1814,,1225
9,Ostholstein  Stormarn-Nord,179987,131917,4043,3094,127874,128823,43765,36329,49363,42193,14397,22701,8235,9342,10411,13651,,,1270,1192,,,,,,,,,,43,,,,,,,,,,,,,,,132,,,,,,,2062,,,1178,,433
10,Herzogtum Lauenburg  Stormarn-Süd,237144,181568,3884,3259,177684,178309,53073,45354,70874,59075,19742,30714,12351,13855,18761,22240,,,2330,2126,,,,,,,,,,48,,,,,,,,,,,,,,,204,553,,,,,,3248,,,1445,,
11,Lübeck,180424,124624,3524,3284,121100,121340,44393,36578,36745,32970,13296,17173,10973,12002,14098,16764,,,1595,1412,,,,,,,,,,90,,,,,,,,,,,,,,,144,,,,,,,3010,,,1197,,
12,Schwerin  Ludwigslust-Parchim I  Nordwestmecklenburg I,226424,148469,2507,2122,145962,146347,36134,29602,44260,45985,11464,14174,41449,40022,7840,8528,,,4699,4321,,256,,,,,,,,252,,,,,,,,,,,,,,,,,,,,,,3207,,,,,116
13,Ludwigslust-Parchim II  Nordwestmecklenburg II  Landkreis Rostock I,217571,138101,2440,2155,135661,135946,28275,25078,45462,44531,10106,13264,40228,38919,6601,7049,,,4239,3903,,199,,,,,,,,254,,,,,,,,,,,,,,,,,,,133,,,2749,,,,,617
14,Rostock  Landkreis Rostock II,224968,149341,2402,2115,146939,147226,29052,26254,41161,41154,9931,14285,46323,44937,15050,12027,,,3681,3405,,215,,,,,,,554,343,,,,,,,,,,,,,,,,,,,74,,,4606,,,,,1113
15,Vorpommern-Rügen  Vorpommern-Greifswald I,253514,154213,2632,2761,151581,151452,19090,19591,70329,55282,8491,16798,40081,42462,6757,8550,,,4115,4237,,307,,,,,,,,283,,,,,,,,,,,,,,,,,,,,,,3942,,,,,2718
16,Mecklenburgische Seenplatte I  Vorpommern-Greifswald II,247700,153434,3498,3085,149936,150349,22994,20979,52897,53411,11746,13987,46343,44748,5412,5705,,,8369,7776,,340,,,,,,,,294,,,,,,,,,,,,,,,,,,,,,,3109,,,,,2175
17,Mecklenburgische Seenplatte II  Landkreis Rostock III,230121,138618,2988,2671,135630,135947,25869,22103,47714,47118,9731,12695,40987,40448,5166,5982,,,4698,4581,,266,,,,,,,,304,,,,,,,,,,,,,,,,,,,316,,,2450,,,,,1149
18,Hamburg-Mitte,249150,164566,2660,2033,161906,162533,56125,45904,43306,38459,12700,18915,21173,22111,26261,26984,,,2341,1817,,,,,,,,,,128,,,,,,,,,,,,,,,243,,,,,659,,6142,,,1171,,
19,Hamburg-Altona,178340,133657,1552,1358,132105,132299,47298,33225,39303,34197,10655,17246,13206,16340,18888,25459,,,780,802,,,,,,,,,158,88,151,,,,,,,,,,,,,,104,,,,709,563,,3513,,,762,,957
20,Hamburg-Eimsbüttel,185790,141650,1881,1290,139769,140360,33272,37645,43661,37644,11712,18823,12484,14653,36381,25703,,,967,797,,,,,,,,,,70,,,,,,,,,,,,,,,144,,,,,426,,3523,,,932,,1292
21,Hamburg-Nord,207016,163012,1821,1357,161191,161655,53469,40909,61873,50174,12766,25269,10805,13429,21268,26306,,,1010,794,,,,,,,,,,46,,,,,,,,,,,,,,,152,,,,,411,,3289,,,876,,
22,Hamburg-Wandsbek,217147,150049,2126,1686,147923,148363,51460,42705,53958,44770,11408,20181,14021,16205,13914,17518,,,1972,1674,,,,,,,,,,50,,,,,,,,,,,,,,,261,,,,1190,527,,3158,,,1314,,
23,Hamburg-Bergedorf  Harburg,219191,143119,2355,1991,140764,141128,54965,42554,46303,41423,10727,16709,14430,16358,11728,16484,,,2111,1795,,,,,,,,,,63,500,,,,,,,,,,,,,,280,,,,,402,,3543,,,1517,,
24,Aurich  Emden,189804,132885,2439,2121,130446,130764,57876,50682,33706,32155,9314,13619,13213,14978,14451,13641,,,1886,1712,,,,,,1042,,,,32,,,,,,,,,,,,,,,123,,,,,123,,2015,,642,,,
25,Unterems,231076,164653,2392,2136,162261,162517,47481,44913,73405,63545,15470,20731,12062,14219,11981,12222,,,1862,1707,,,,,,1149,,,,28,,,,,,,,,,,,,,,152,,,,,304,,2899,,648,,,
26,Friesland  Wilhelmshaven  Wittmund,190546,132735,2630,1939,130105,130796,51851,40610,42211,38728,12283,19204,12055,13572,9794,12009,,,1911,1570,,,,,,1277,,,,85,,,,,,,,,,,,,,,106,,,,,112,,2452,,1071,,,
